ticket,symbol,type,session,direction,mfe_R,mae_R,profit_EUR,bars_open,exit_reason,atr_entry
2,AUDUSD,T1,LDN,1,13.803,0.000,69.67,1179,TP,0.000356
5,EURUSD,T2,NY,1,0.263,2.934,-23.94,63,SL,0.000494
4,EURUSD,T1,NY,1,0.263,2.934,-23.94,63,SL,0.000494
8,NZDUSD,T1,OV,1,6.714,0.523,67.01,287,TP,0.000803
16,NZDUSD,T2,LDN,1,0.000,0.365,-23.80,4,SL,0.000494
15,NZDUSD,T1,LDN,1,0.000,0.365,-23.80,4,SL,0.000494
19,AUDUSD,T1,OV,1,7.207,0.354,67.07,156,TP,0.000820
23,NZDUSD,T2,LDN,1,3.101,0.987,21.00,16,TT,0.000426
22,NZDUSD,T1,LDN,1,9.443,0.987,69.58,100,TP,0.000426
27,NZDUSD,T1,OV,1,0.601,1.308,-23.79,45,SL,0.000849
30,USDJPY,T2,LDN,-1,2.329,3.170,-23.89,111,SL,0.041643
29,USDJPY,T1,LDN,-1,2.329,3.170,-23.89,111,SL,0.041643
33,USDJPY,T1,AS,-1,14.087,4.017,62.81,942,TP,0.034357
36,AUDUSD,T2,OV,-1,0.000,0.963,-22.82,3,SL,0.000727
35,AUDUSD,T1,OV,-1,0.000,0.963,-22.82,3,SL,0.000727
43,USDJPY,T1,OV,-1,1.277,1.726,-22.79,76,SL,0.068929
45,USDJPY,T1,AS,-1,0.223,2.759,-22.85,81,SL,0.049286
47,USDJPY,T1,AS,-1,9.067,4.203,-22.68,188,SL,0.028786
51,EURUSD,T1,OV,-1,4.595,1.743,-23.13,544,SL,0.000884
55,NZDUSD,T1,LDN,-1,1.057,2.146,-22.75,64,SL,0.000606
54,EURUSD,T2,NY,-1,0.000,1.399,-23.66,40,SL,0.000758
53,EURUSD,T1,NY,-1,0.000,1.399,-23.66,40,SL,0.000758
59,NZDUSD,T1,NY,1,0.183,1.886,-22.22,16,SL,0.000928
61,USDJPY,T1,OV,1,7.312,1.348,66.47,238,TP,0.059357
63,AUDUSD,T1,OV,-1,0.070,1.872,-23.01,14,SL,0.000716
65,AUDUSD,T1,OV,-1,6.865,0.918,69.52,110,TP,0.000664
69,AUDUSD,T2,LDN,1,1.469,0.929,21.00,6,TT,0.000721
68,AUDUSD,T1,LDN,1,1.469,1.455,-23.52,51,SL,0.000721
75,EURUSD,T1,OV,1,4.704,2.272,-25.04,388,SL,0.000629
77,AUDUSD,T1,LDN,1,1.510,1.096,-23.69,372,SL,0.000821
82,EURUSD,T2,OV,-1,0.000,0.506,-21.96,8,SL,0.001797
81,EURUSD,T1,OV,-1,0.000,0.506,-21.96,8,SL,0.001797
86,NZDUSD,T2,LDN,-1,0.037,1.998,-22.99,112,SL,0.000801
85,NZDUSD,T1,LDN,-1,0.037,1.998,-22.99,112,SL,0.000801
90,AUDUSD,T2,LDN,1,0.000,1.727,-22.56,12,SL,0.000712
89,AUDUSD,T1,LDN,1,0.000,1.727,-22.56,12,SL,0.000712
93,NZDUSD,T1,OV,-1,5.637,0.000,70.84,16,TP,0.000921
97,AUDUSD,T2,AS,1,0.000,1.067,-22.44,9,SL,0.001406
96,AUDUSD,T1,AS,1,0.000,1.067,-22.44,9,SL,0.001406
101,EURUSD,T2,OV,1,0.716,1.300,-22.56,14,SL,0.000992
100,EURUSD,T1,OV,1,0.716,1.300,-22.56,14,SL,0.000992
105,EURUSD,T1,NY,1,2.985,2.239,-22.28,360,SL,0.001005
108,NZDUSD,T2,OV,1,2.427,0.344,19.50,75,TT,0.000552
107,NZDUSD,T1,OV,1,8.530,0.344,65.64,594,TP,0.000552
112,EURUSD,T2,AS,1,8.966,1.957,-22.80,120,SL,0.000526
111,EURUSD,T1,AS,1,8.966,1.957,-22.80,120,SL,0.000526
114,NZDUSD,T2,NY,-1,0.468,1.444,-22.68,6,SL,0.000769
113,NZDUSD,T1,NY,-1,0.468,1.444,-22.68,6,SL,0.000769
120,AUDUSD,T2,NY,1,1.718,0.265,18.00,32,TT,0.000791
119,AUDUSD,T1,NY,1,4.978,0.265,68.79,83,TP,0.000791
126,NZDUSD,T2,NY,1,1.460,0.000,16.50,3,TT,0.000616
125,NZDUSD,T1,NY,1,9.214,0.276,65.70,508,TP,0.000616
131,EURUSD,T1,NY,-1,0.545,2.247,-23.66,12,SL,0.000752
130,USDJPY,T2,AS,1,0.000,0.641,-21.07,4,SL,0.173286
129,USDJPY,T1,AS,1,0.000,0.641,-21.07,4,SL,0.173286
135,NZDUSD,T1,OV,1,8.555,1.752,66.81,574,TP,0.000531
